actor,movie_or_TV_name
Ellen Burstyn,When a Man Loves a Woman
Ellen Burstyn,Getting Out
Ellen Burstyn,The Roots of Roe
Ellen Burstyn,Shattered Trust: The Shari Karney Story
Ellen Burstyn,The Cemetery Club
Ellen Burstyn,Taking Back My Life: The Nancy Ziegenmeyer Story
Ellen Burstyn,Grand Isle
Ellen Burstyn,Dying Young
Ellen Burstyn,Mrs. Lambert Remembers Love
Ellen Burstyn,The Color of Evening
Ellen Burstyn,When You Remember Me
Ellen Burstyn,Hanna's War
Ellen Burstyn,Look Away
Ellen Burstyn,Dear America: Letters Home from Vietnam
Ellen Burstyn,The Ellen Burstyn Show
Ellen Burstyn,Pack of Lies
Ellen Burstyn,Something in Common
Ellen Burstyn,Act of Vengeance
Ellen Burstyn,Into Thin Air
Ellen Burstyn,Twice in a Lifetime
Alexander Lu,Tomorrowland
Alexander Lu,Interstellar
Alexander Lu,Boyhood
Kevan Weber,Independence Day: Resurgence
Kevan Weber,"Hail, Caesar!"
Kevan Weber,Interstellar
Kevan Weber,The Lone Ranger
Kevan Weber,The Incredible Burt Wonderstone
Kevan Weber,Oz the Great and Powerful
Kevan Weber,Identity Thief
Kevan Weber,Gangster Squad
Kevan Weber,Movie 43
Kevan Weber,Stand Up Guys
Kevan Weber,On the Road
Kevan Weber,Moneyball
Kevan Weber,Hall Pass
Kevan Weber,I Am Number Four
Kevan Weber,True Grit
Kevan Weber,Burlesque
Kevan Weber,Knight and Day
Kevan Weber,Date Night
Kevan Weber,Angels & Demons
Kevan Weber,Fast & Furious
Kevan Weber,Sonny with a Chance
Kevan Weber,Role Models
Kevan Weber,Prom Night
Kevan Weber,Charlie Wilson's War
Kevan Weber,Delta Farce
Kevan Weber,Vacancy
Kevan Weber,Smith
Ellen Burstyn,Surviving
Ellen Burstyn,The Ambassador
Ellen Burstyn,Silence of the North
Ellen Burstyn,The People vs. Jean Harris
Ellen Burstyn,Resurrection
Ellen Burstyn,"Same Time, Next Year"
Ellen Burstyn,A Dream of Passion
Ellen Burstyn,Providence
Ellen Burstyn,Alice Doesn't Live Here Anymore
Ellen Burstyn,Harry and Tonto
Ellen Burstyn,Thursday's Game
Ellen Burstyn,The Exorcist
Ellen Burstyn,The King of Marvin Gardens
Ellen Burstyn,The Bold Ones: The Lawyers
Ellen Burstyn,Gunsmoke
Ellen Burstyn,The Last Picture Show
Ellen Burstyn,Alex in Wonderland
Ellen Burstyn,Tropic of Cancer
Ellen Burstyn,Insight
Ellen Burstyn,Pit Stop
Ellen Burstyn,The Virginian
Ellen Burstyn,Iron Horse
Ellen Burstyn,The Big Valley
Ellen Burstyn,The Time Tunnel
Ellen Burstyn,The Doctors
Ellen Burstyn,For the People
Ellen Burstyn,Goodbye Charlie
Ellen Burstyn,For Those Who Think Young
Kevan Weber,Dreamgirls
Kevan Weber,Smokin' Aces
Kevan Weber,Accepted
Kevan Weber,Pepper Dennis
Kevan Weber,Bewitched
Kevan Weber,House
Kevan Weber,Interstellar
Ellen Burstyn,Death Valley Days
Ellen Burstyn,The Greatest Show on Earth
Ellen Burstyn,Bob Hope Presents the Chrysler Theatre
Ellen Burstyn,Kraft Suspense Theatre
Ellen Burstyn,The Big Brain
Ellen Burstyn,Vacation Playhouse
Ellen Burstyn,Wagon Train
Ellen Burstyn,Going My Way
Ellen Burstyn,The Defenders
Ellen Burstyn,77 Sunset Strip
Ellen Burstyn,Laramie
Ellen Burstyn,The Real McCoys
Ellen Burstyn,Perry Mason
Ellen Burstyn,The Many Loves of Dobie Gillis
Ellen Burstyn,"I'm Dickens, He's Fenster"
Ellen Burstyn,Ben Casey
Ellen Burstyn,Kraft Mystery Theater
Ellen Burstyn,Checkmate
Ellen Burstyn,The Detectives
Ellen Burstyn,Bus Stop
Ellen Burstyn,Cheyenne
Ellen Burstyn,Dr. Kildare
Ellen Burstyn,The Dick Powell Theatre
Ellen Burstyn,Surfside 6
Ellen Burstyn,The Loretta Young Show
Ellen Burstyn,Michael Shayne
Ellen Burstyn,The DuPont Show of the Month
Ellen Burstyn,The Christmas Tree
Ellen Burstyn,Kraft Theatre
Ellen Burstyn,Bathing Flo
Ellen Burstyn,Inside the Actors Studio
Ellen Burstyn,The Actors Studio Mastering the Art Form
Ellen Burstyn,The House of Tomorrow
Ellen Burstyn,Within These Walls
Ellen Burstyn,Bathing Flo
Ellen Burstyn,Political Animals
Ellen Burstyn,The Stone Angel
Ellen Burstyn,The 35th Annual Tony Awards
Ellen Burstyn,Alice Doesn't Live Here Anymore
Ellen Burstyn,Dr. Jack and Mr. Nicholson
Ellen Burstyn,Inside 'the Fountain': Death and Rebirth
Ellen Burstyn,Second Chances: The Making of 'Alice Doesn't Live Here Anymore'
Ellen Burstyn,Female Brando: The Enigmatic Legacy of Kim Stanley
Ellen Burstyn,The Needs of Kim Stanley
Ellen Burstyn,What Ever Happened to Norma Jeane?
Ellen Burstyn,Presenting Geraldine Page
Ellen Burstyn,Daily Blast Live
Ellen Burstyn,CBS Mornings
Ellen Burstyn,Reframed: Marilyn Monroe
Ellen Burstyn,Insights
Ellen Burstyn,Celebrity Page
Ellen Burstyn,WTF with Marc Maron
Ellen Burstyn,CBS This Morning
Ellen Burstyn,Today
Ellen Burstyn,The Talk
Ellen Burstyn,Entertainment Tonight
Ellen Burstyn,CBS News Sunday Morning
Ellen Burstyn,Made in Hollywood
Ellen Burstyn,Dispatches from Quarantine
Ellen Burstyn,Inside the Actors Studio
Ellen Burstyn,The Movies
Ellen Burstyn,Steven Arnold: Heavenly Bodies
Ellen Burstyn,Friedkin Uncut
Ellen Burstyn,Inside the House of Tomorrow: A Conversation with Ellen Burstyn & Peter Livolsi
Ellen Burstyn,Live with Kelly and Ryan
Ellen Burstyn,Marilyn Monroe: Auction of a Lifetime
Ellen Burstyn,Concert for America
Ellen Burstyn,Efter Tio
Ellen Burstyn,A Conversation with Ellen Burstyn and Diane Ladd
Ellen Burstyn,A Love Story for the Ages
Ellen Burstyn,Unity
Ellen Burstyn,Teens Wanna Know
Ellen Burstyn,The 19th Annual Satellite Awards
Ellen Burstyn,The 21st Annual Screen Actors Guild Awards
Ellen Burstyn,Larry King Now
Ellen Burstyn,The 66th Primetime Emmy Awards
Ellen Burstyn,And the Oscar Goes to...
Ellen Burstyn,The 65th Primetime Emmy Awards
Ellen Burstyn,SAG Foundation Conversations
Ellen Burstyn,"Love, Marilyn"
Ellen Burstyn,America Lost and Found: The BBS Story
Ellen Burstyn,Reflections of a Philosopher King
Ellen Burstyn,The 61st Primetime Emmy Awards
Ellen Burstyn,The 2009 Primetime Creative Arts Emmy Awards
Ellen Burstyn,PoliWood
Ellen Burstyn,Up Close with Carrie Keagan
Ellen Burstyn,The View
Ellen Burstyn,HypaSpace
Ellen Burstyn,Stardust: The Bette Davis Story
Ellen Burstyn,Hubert Selby Jr: It/ll Be Better Tomorrow
Ellen Burstyn,Second Chances: The Making of 'Alice Doesn't Live Here Anymore'
Ellen Burstyn,The 2004 Annual Matrix Awards
Ellen Burstyn,The 61st Annual Golden Globe Awards
Ellen Burstyn,A Decade Under the Influence
Ellen Burstyn,"Easy Riders, Raging Bulls: How the Sex, Drugs and Rock 'N' Roll Generation Saved Hollywood"
Ellen Burstyn,Revealed with Jules Asner
Ellen Burstyn,HBO First Look
Ellen Burstyn,VH1 Cast Party
Ellen Burstyn,The Oprah Winfrey Show
Ellen Burstyn,The 16th Annual Genesis Awards
Ellen Burstyn,The 2002 IFP/West Independent Spirit Awards
Ellen Burstyn,CBS Cares
Ellen Burstyn,Intimate Portrait
Ellen Burstyn,Memories Dreams & Addictions
Ellen Burstyn,The Making of 'Requiem for a Dream'
Ellen Burstyn,The 73rd Annual Academy Awards
Ellen Burstyn,The 2001 IFP/West Independent Spirit Awards
Ellen Burstyn,7th Annual Screen Actors Guild Awards
Ellen Burstyn,Charlie Rose
Ellen Burstyn,Bravo Profiles
Ellen Burstyn,Comme au cinéma
Ellen Burstyn,The Last Picture Show: A Look Back
Ellen Burstyn,Maury
Ellen Burstyn,Marilyn in Manhattan
Ellen Burstyn,The Fear of God: 25 Years of ''The Exorcist''
Ellen Burstyn,The 70th Annual Academy Awards
Ellen Burstyn,Mary Jane Colter: The Desert View
Ellen Burstyn,The Rosie O'Donnell Show
Ellen Burstyn,AFI Life Achievement Award
Ellen Burstyn,Choosing One's Way: Resistance in Auschwitz/Birkenau
Ellen Burstyn,American Experience
Ellen Burstyn,The 47th Annual Tony Awards
Ellen Burstyn,When It Was a Game 2
Ellen Burstyn,Earth and the American Dream
Ellen Burstyn,"Picture This: The Times of Peter Bogdanovich in Archer City, Texas"
Ellen Burstyn,American Masters
Ellen Burstyn,From the Heart... The First International Very Special Arts Festival
Ellen Burstyn,Hello Actors Studio
Ellen Burstyn,The 39th Annual Primetime Emmy Awards
Ellen Burstyn,Night of 100 Stars II
Ellen Burstyn,Hour Magazine
Ellen Burstyn,The 12th Annual International Emmy Awards Gala
Ellen Burstyn,Good Morning America
Ellen Burstyn,In Our Hands
Ellen Burstyn,The Laurence Olivier Awards
Ellen Burstyn,The 37th Annual Tony Awards
Ellen Burstyn,The 36th Annual Tony Awards
Ellen Burstyn,I Love Liberty
Ellen Burstyn,Broadway Plays Washington on Kennedy Center Tonight
Ellen Burstyn,Night of 100 Stars
Ellen Burstyn,Acting: Lee Strasberg and the Actors Studio
Ellen Burstyn,Saturn Awards
Ellen Burstyn,The 35th Annual Tony Awards
Ellen Burstyn,The 53rd Annual Academy Awards
Ellen Burstyn,Be Pretty and Shut Up
Ellen Burstyn,"Friday Night, Saturday Morning"
Ellen Burstyn,The Dick Cavett Show
Ellen Burstyn,The 38th Annual Golden Globe Awards
Ellen Burstyn,Saturday Night Live
Ellen Burstyn,The Toni Tennille Show
Ellen Burstyn,The 37th Annual Golden Globe Awards
Ellen Burstyn,The 33rd Annual Tony Awards
Ellen Burstyn,The 51st Annual Academy Awards
Ellen Burstyn,The Tonight Show Starring Johnny Carson
Ellen Burstyn,The Mike Douglas Show
Ellen Burstyn,People
Ellen Burstyn,Pour le cinéma
Ellen Burstyn,Les rendez-vous du dimanche
Ellen Burstyn,Revista de cine
Ellen Burstyn,The 49th Annual Academy Awards
Ellen Burstyn,Dinah!
Ellen Burstyn,The 29th Annual Tony Awards
Ellen Burstyn,The 46th Annual Academy Awards
Ellen Burstyn,The Merv Griffin Show
Ellen Burstyn,The Arthur Murray Party
Ellen Burstyn,Delphine and Carole
Ellen Burstyn,Inside Edition
Ellen Burstyn,Visionado obligado
Ellen Burstyn,A History of Horror with Mark Gatiss
Ellen Burstyn,Saucy 70's Volume 2
Ellen Burstyn,5 Second Movies
Ellen Burstyn,Cinemassacre's Monster Madness
Ellen Burstyn,Silenci?
Ellen Burstyn,I Love the '70s: Volume 2
Ellen Burstyn,Biography
Ellen Burstyn,The Hurricane
Ellen Burstyn,Empire of the Censors
Ellen Burstyn,Imágenes prohibidas
Ellen Burstyn,The 65th Annual Academy Awards
Ellen Burstyn,Oscar's Greatest Moments
Ellen Burstyn,The Dick Cavett Show
Marlon Sanders,Rock of Love with Bret Michaels
Marlon Sanders,Flavor of Love
Marlon Sanders,Beauty and the Geek
Marlon Sanders,I Want to Be a Hilton
Marlon Sanders,The Real World
Marlon Sanders,The Real Cancun
Marlon Sanders,Playboy: Who Wants to Be a Playboy Centerfold?
Marlon Sanders,She'll Be Back
Marlon Sanders,Goliath
Marlon Sanders,God's Fool
Marlon Sanders,Tilt
Marlon Sanders,2morrow
Marlon Sanders,Mirror Image
Marlon Sanders,The Orville
Marlon Sanders,Home Entertainment
Marlon Sanders,Clips
Marlon Sanders,Extra Starch
Marlon Sanders,The Juice Bar
Marlon Sanders,Con/Vict
Marlon Sanders,The Forgiven
Marlon Sanders,KarMa
Marlon Sanders,Interstellar
Marlon Sanders,Shameless
Marlon Sanders,NCIS
Marlon Sanders,Gone Are the Days
Marlon Sanders,Sons of Anarchy
Marlon Sanders,Southland
Marlon Sanders,Real Husbands of Hollywood
Marlon Sanders,The Last Decision of President Duo
Marlon Sanders,Between the Crosshairs
Marlon Sanders,The Chef Jeff Project
Marlon Sanders,Damage Control
Marlon Sanders,Behind the Curtain: The Forgiven
Joseph Oliveira,Midnight Butterflies
Joseph Oliveira,The Hunchback of the Lighthouse
Joseph Oliveira,The Hunt for the White Dove
Joseph Oliveira,Higher Methods
Joseph Oliveira,I Am Monroe?
Joseph Oliveira,Eyes
Joseph Oliveira,Broken Soldier
Joseph Oliveira,Don't Look Up
Joseph Oliveira,Plaga Zombie: American Invasion
Joseph Oliveira,Free Guy
Joseph Oliveira,Oddity
Joseph Oliveira,"Love, Weddings & Other Disasters"
Joseph Oliveira,Tehran
Joseph Oliveira,Defending Jacob
Joseph Oliveira,Spenser Confidential
Joseph Oliveira,Primal
Joseph Oliveira,The Irishman
Joseph Oliveira,Jungleland
Joseph Oliveira,City on a Hill
Joseph Oliveira,NOS4A2
Joseph Oliveira,Only
Joseph Oliveira,Fairfield Follies
Joseph Oliveira,Suspicion
Joseph Oliveira,Alone We Fight
Joseph Oliveira,Blue Bloods
Joseph Oliveira,Randy's Canvas
Joseph Oliveira,Castle Rock
Joseph Oliveira,The Equalizer 2
Joseph Oliveira,Deep of the Sea
Joseph Oliveira,American Woman
Joseph Oliveira,Suspicious
Joseph Oliveira,I Feel Pretty
Joseph Oliveira,The Beaumonts
Joseph Oliveira,The Catcher Was a Spy
Joseph Oliveira,Proud Mary
Joseph Oliveira,Fraternitas
Joseph Oliveira,Daddy's Home 2
Joseph Oliveira,November Criminals
Joseph Oliveira,Surviving Saving Christmas
Joseph Oliveira,The Cars That Made America
Joseph Oliveira,Pirates of the Caribbean: Dead Men Tell No Tales
Joseph Oliveira,Sunny Side Up
Joseph Oliveira,Painless
Joseph Oliveira,The Polka King
Joseph Oliveira,Bleed for This
Joseph Oliveira,Ghostbusters
Joseph Oliveira,Central Intelligence
Joseph Oliveira,The Congressman
Joseph Oliveira,This Time Each Year
Joseph Oliveira,Prisoners of Time
Joseph Oliveira,The Finest Hours
Joseph Oliveira,Christine
Joseph Oliveira,Broad Squad
Joseph Oliveira,The Nexum Agency
Joseph Oliveira,Silence
Joseph Oliveira,Black Mass
Joseph Oliveira,Spotlight
Joseph Oliveira,A Date with Miss Fortune
Joseph Oliveira,The Runner
Joseph Oliveira,Fantastic Four
Joseph Oliveira,Ascendants: The Raven
Joseph Oliveira,Family Problems
Joseph Oliveira,Ted 2
Joseph Oliveira,Frank and Cindy
Joseph Oliveira,Southpaw
Joseph Oliveira,Please Punish Me
Joseph Oliveira,Aloha
Joseph Oliveira,San Andreas
Joseph Oliveira,The Sea of Trees
Joseph Oliveira,Irrational Man
Joseph Oliveira,Against the Jab
Joseph Oliveira,American Odyssey
Joseph Oliveira,Get Hard
Joseph Oliveira,Subconscious
Joseph Oliveira,Unfinished Business
Joseph Oliveira,The Gunman
Joseph Oliveira,Cop Car
Joseph Oliveira,Mississippi Grind
Joseph Oliveira,Caped Crusader: The Dark Hours
Joseph Oliveira,Permanent
Joseph Oliveira,Gilgamesh
Joseph Oliveira,American Sniper
Joseph Oliveira,Selma
Joseph Oliveira,The Folklorist
Joseph Oliveira,Interstellar
Joseph Oliveira,Left Behind
Joseph Oliveira,John Wick
Joseph Oliveira,The Forger
Joseph Oliveira,The Equalizer
Benjamin Hardy,Side Effects
Joseph Oliveira,The Judge
Joseph Oliveira,Olive Kitteridge
Joseph Oliveira,The Imitation Game
Joseph Oliveira,The Dark Horse
Joseph Oliveira,Sex Tape
Joseph Oliveira,Empire State
Joseph Oliveira,Heart of Faith
Joseph Oliveira,Edge of Tomorrow
Joseph Oliveira,Future Justice
Joseph Oliveira,In the Blood
Joseph Oliveira,Son of God
Joseph Oliveira,Whiplash
Joseph Oliveira,Invasion of the Sugar Zombies
Joseph Oliveira,Red Circles
Joseph Oliveira,Prisoners of the Sun
Joseph Oliveira,The Wolf of Wall Street
Joseph Oliveira,Santa Switch
Joseph Oliveira,American Hustle
Joseph Oliveira,Frank the Bastard
Joseph Oliveira,Normal
Joseph Oliveira,Stoop
Joseph Oliveira,Fairy Tales: Sunday Night at the Club
Joseph Oliveira,Prisoner
Joseph Oliveira,Prisoners
Joseph Oliveira,Ascendants
Joseph Oliveira,Clear History
Joseph Oliveira,The Devil You Know
Joseph Oliveira,Killing Season
Benjamin Hardy,Cogs
Benjamin Hardy,Voodoo Macbeth
Benjamin Hardy,Gossip Boy
Benjamin Hardy,Lemon Drop
Benjamin Hardy,The Henchblog
Benjamin Hardy,Barry
Benjamin Hardy,Adolf Silverstein
Benjamin Hardy,5th Passenger
Benjamin Hardy,The Mad Whale
Benjamin Hardy,Calvari
Benjamin Hardy,The Castro Vegas Show
Benjamin Hardy,The Goodbye Girl
Benjamin Hardy,AbsurdTV Show
Benjamin Hardy,F#@K I Love U
Benjamin Hardy,Attraction
Benjamin Hardy,Steph and Lance: Pot Holders
Benjamin Hardy,Interstellar
Benjamin Hardy,Christian Mingle
Benjamin Hardy,Love & Mercy
Benjamin Hardy,VainGlorious
Benjamin Hardy,Spider-Man: No Way Home
Benjamin Hardy,Ford v Ferrari
Benjamin Hardy,Guardians of the Galaxy Vol. 2
Benjamin Hardy,Seventh Son
Benjamin Hardy,Into the Storm
Benjamin Hardy,Percy Jackson: Sea of Monsters
Benjamin Hardy,Django Unchained
Benjamin Hardy,Life of Pi
Benjamin Hardy,The Bourne Legacy
Benjamin Hardy,Snow White and the Huntsman
Benjamin Hardy,Big Miracle
Benjamin Hardy,Moneyball
Joseph Oliveira,The Heat
Joseph Oliveira,Iron Man 3
Joseph Oliveira,Superman vs. Batman: When Heroes Collide
Joseph Oliveira,The Makeover
Joseph Oliveira,The East
Joseph Oliveira,Equalizer
Joseph Oliveira,Rise of the Zombies
Joseph Oliveira,Transsexuals from Space
Joseph Oliveira,Battle Lords
Joseph Oliveira,Plaga Zombie: Zona Mutante: Revolución Tóxica
Joseph Oliveira,Exhumed
Joseph Oliveira,De la B a la Z
Joseph Oliveira,Boston's Finest
Joseph Oliveira,Stiffs
Joseph Oliveira,The Candidate
Joseph Oliveira,Madso's War
Joseph Oliveira,The Fighter
Joseph Oliveira,The Town
Joseph Oliveira,Grown Ups
Joseph Oliveira,The House of the Devil
Joseph Oliveira,The Pink Panther 2
Joseph Oliveira,The Gates of Hell
Joseph Oliveira,The Dark Knight
Joseph Oliveira,Law & Order: Special Victims Unit
Ryan Irving,DC's Legends of Tomorrow
Troy Fyhn,Private Dicks
Benjamin Hardy,Mr. Popper's Penguins
Benjamin Hardy,X-Men: First Class
Benjamin Hardy,Hop
Benjamin Hardy,Percy Jackson & the Olympians: The Lightning Thief
Benjamin Hardy,Night at the Museum: Battle of the Smithsonian
Benjamin Hardy,The Incredible Hulk
Benjamin Hardy,The Golden Compass
Benjamin Hardy,Night at the Museum
Benjamin Hardy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Benjamin Hardy,Friday Night Lights
Benjamin Hardy,The Lord of the Rings: The Return of the King
Benjamin Hardy,Lemon Drop
Benjamin Hardy,A Good Catch
Joseph Oliveira,The Departed
Joseph Oliveira,Meet the Santas
Joseph Oliveira,Wedding Crashers
Joseph Oliveira,The Island
Joseph Oliveira,Mr. Deeds
Joseph Oliveira,Passionada
Joseph Oliveira,L.A. Law: The Movie
Joseph Oliveira,Changing Lanes
